epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,20368.4,1.28865,0.65229,1.19033,0.85657,0.8191,0.85545,0.51298,1.34189,0.7356,1.31185,0.0005075,0.0005075,0.0005075
50,20781.5,1.2925,0.63536,1.19184,0.85304,0.82929,0.86262,0.51903,1.34277,0.73617,1.30816,0.000492031,0.000492031,0.000492031
51,21195.7,1.28094,0.64115,1.18452,0.86564,0.81578,0.8556,0.51517,1.33953,0.73353,1.30562,0.000476562,0.000476562,0.000476562
52,21609,1.29825,0.63962,1.19001,0.849,0.81691,0.85779,0.51608,1.33716,0.73003,1.30734,0.000461094,0.000461094,0.000461094
53,22021.8,1.2731,0.63833,1.18088,0.86251,0.82076,0.86037,0.52178,1.3397,0.73433,1.31387,0.000445625,0.000445625,0.000445625
54,22434.9,1.26573,0.63051,1.17805,0.83355,0.82641,0.84861,0.51343,1.34105,0.74364,1.30809,0.000430156,0.000430156,0.000430156
55,22848.3,1.27355,0.62834,1.17702,0.85667,0.81894,0.85826,0.52043,1.33498,0.72511,1.30266,0.000414688,0.000414688,0.000414688
56,23261.5,1.26342,0.621,1.17617,0.86713,0.80628,0.85804,0.51925,1.33062,0.73344,1.29846,0.000399219,0.000399219,0.000399219
57,23676.9,1.27062,0.62485,1.17097,0.85388,0.82018,0.85416,0.51425,1.33654,0.73194,1.30904,0.00038375,0.00038375,0.00038375
58,24092,1.26456,0.62462,1.17754,0.8452,0.82593,0.85547,0.51834,1.33488,0.71796,1.30966,0.000368281,0.000368281,0.000368281
59,24506.1,1.2725,0.61842,1.17262,0.86778,0.81037,0.85796,0.51871,1.33799,0.72836,1.31427,0.000352812,0.000352812,0.000352812
60,24920.4,1.26285,0.6164,1.17718,0.83635,0.8341,0.85455,0.52074,1.33532,0.7262,1.31198,0.000337344,0.000337344,0.000337344
61,25334.8,1.26327,0.61553,1.16316,0.8553,0.82682,0.85725,0.51974,1.33922,0.7194,1.31291,0.000321875,0.000321875,0.000321875
62,25747.3,1.24904,0.61472,1.17564,0.84763,0.83185,0.85482,0.51731,1.3418,0.7241,1.31217,0.000306406,0.000306406,0.000306406
63,26161,1.25489,0.61489,1.17067,0.86302,0.81403,0.85595,0.51749,1.3405,0.72627,1.31073,0.000290937,0.000290937,0.000290937
64,26575.5,1.25362,0.61445,1.16536,0.84973,0.82293,0.85979,0.5205,1.3431,0.72611,1.31684,0.000275469,0.000275469,0.000275469
65,26989.5,1.24678,0.61024,1.16783,0.85384,0.81533,0.85153,0.51615,1.33967,0.72923,1.3166,0.00026,0.00026,0.00026
66,27404.8,1.25841,0.61158,1.16521,0.85373,0.81746,0.84739,0.51294,1.34294,0.72899,1.32074,0.000244531,0.000244531,0.000244531
67,27820.6,1.24844,0.61097,1.16166,0.86036,0.8216,0.85291,0.51391,1.34126,0.7255,1.31711,0.000229063,0.000229063,0.000229063
68,28234.8,1.24962,0.5988,1.16076,0.85964,0.805,0.85275,0.51631,1.34133,0.72207,1.31091,0.000213594,0.000213594,0.000213594
69,28648.7,1.24726,0.60126,1.15971,0.85371,0.81422,0.85219,0.51517,1.33691,0.72619,1.31456,0.000198125,0.000198125,0.000198125
